timestamp_solar,level_cm,kind
1984-01-01 01:55:00,1.0,min
1984-01-01 08:00:00,56.00000000000001,max
1984-01-01 15:10:00,-42.0,min
1984-01-01 21:55:00,39.0,max
1984-01-02 02:10:00,4.0,min
1984-01-02 08:20:00,62.0,max
1984-01-02 15:40:00,-41.0,min
1984-01-02 23:00:00,41.0,max
1984-01-03 03:15:00,13.0,min
1984-01-03 09:35:00,65.0,max
1984-01-03 16:20:00,-36.0,min
1984-01-04 00:00:00,59.0,max
1984-01-04 04:15:00,27.0,min
1984-01-04 09:20:00,71.0,max
1984-01-04 16:50:00,-44.0,min
1984-01-04 23:50:00,40.0,max
1984-01-05 05:05:00,8.0,min
1984-01-05 10:30:00,46.0,max
1984-01-05 17:10:00,-46.0,min
1984-01-06 00:05:00,48.0,max
1984-01-06 05:25:00,3.0,min
1984-01-06 11:00:00,39.0,max
1984-01-06 17:05:00,-49.0,min
1984-01-07 01:10:00,31.0,max
1984-01-07 05:55:00,0.0,min
1984-01-07 11:15:00,39.0,max
1984-01-07 17:45:00,-32.0,min
1984-01-08 01:45:00,46.0,max
1984-01-08 07:00:00,24.0,min
1984-01-08 11:40:00,46.0,max
1984-01-08 18:05:00,-17.0,min
1984-01-09 02:15:00,59.0,max
1984-01-09 07:15:00,19.0,min
1984-01-09 11:05:00,38.0,max
1984-01-09 18:40:00,-11.0,min
1984-01-10 02:50:00,47.0,max
1984-01-10 10:00:00,5.0,min
1984-01-10 14:05:00,20.0,max
1984-01-10 19:40:00,-3.0,min
1984-01-11 03:15:00,43.0,max
1984-01-11 10:15:00,0.0,min
1984-01-11 14:30:00,18.0,max
1984-01-11 20:45:00,-7.000000000000001,min
1984-01-12 04:20:00,33.0,max
1984-01-12 12:05:00,2.0,min
1984-01-12 17:50:00,16.0,max
1984-01-12 22:50:00,3.0,min
1984-01-13 05:05:00,35.0,max
1984-01-13 13:20:00,-31.0,min
1984-01-13 20:35:00,24.0,max
1984-01-13 23:45:00,16.0,min
1984-01-14 05:30:00,56.00000000000001,max
1984-01-14 13:10:00,-21.0,min
1984-01-14 20:15:00,49.0,max
1984-01-15 00:45:00,35.0,min
1984-01-15 06:15:00,67.0,max
1984-01-15 14:10:00,-24.0,min
1984-01-15 21:35:00,45.0,max
1984-01-16 02:15:00,9.0,min
1984-01-16 07:20:00,57.99999999999999,max
1984-01-16 15:00:00,-55.00000000000001,min
1984-01-16 21:40:00,40.0,max
1984-01-17 02:15:00,16.0,min
1984-01-17 08:10:00,70.0,max
1984-01-17 15:30:00,-55.00000000000001,min
1984-01-17 22:25:00,55.00000000000001,max
1984-01-18 04:05:00,18.0,min
1984-01-18 09:05:00,63.0,max
1984-01-18 16:00:00,-70.0,min
1984-01-18 23:05:00,56.00000000000001,max
1984-01-19 04:25:00,6.0,min
1984-01-19 09:55:00,54.0,max
1984-01-19 16:55:00,-54.0,min
1984-01-19 23:30:00,63.0,max
1984-01-20 04:50:00,7.000000000000001,min
1984-01-20 10:25:00,56.99999999999999,max
1984-01-20 17:30:00,-45.0,min
1984-01-21 00:55:00,44.0,max
1984-01-21 05:30:00,12.0,min
1984-01-21 11:30:00,50.0,max
1984-01-21 17:55:00,-43.0,min
1984-01-22 01:25:00,71.0,max
1984-01-22 07:15:00,11.0,min
1984-01-22 11:50:00,45.0,max
1984-01-22 18:30:00,-36.0,min
1984-01-23 01:30:00,72.0,max
1984-01-23 07:55:00,2.0,min
1984-01-23 12:35:00,22.0,max
1984-01-23 18:15:00,-22.0,min
1984-01-24 03:05:00,103.0,max
1984-01-24 10:00:00,15.0,min
1984-01-24 10:45:00,22.0,max
1984-01-24 11:25:00,13.0,min
1984-01-24 13:00:00,25.0,max
1984-01-24 18:30:00,-12.0,min
1984-01-24 20:15:00,-3.0,max
1984-01-24 21:45:00,-13.0,min
1984-01-25 02:45:00,76.0,max
1984-01-25 10:35:00,21.0,min
1984-01-25 11:20:00,26.0,max
1984-01-25 19:20:00,-10.0,min
1984-01-26 03:25:00,65.0,max
1984-01-26 15:15:00,-22.0,min
1984-01-27 05:35:00,62.0,max
1984-01-27 13:35:00,-28.999999999999996,min
1984-01-27 21:25:00,50.0,max
1984-01-28 00:45:00,45.0,min
1984-01-28 04:50:00,56.99999999999999,max
1984-01-28 13:45:00,-23.0,min
1984-01-28 21:20:00,53.0,max
1984-01-29 02:30:00,21.0,min
1984-01-29 07:20:00,37.0,max
1984-01-29 14:00:00,-30.0,min
1984-01-29 21:10:00,42.0,max
1984-01-30 03:20:00,-2.0,min
1984-01-30 08:10:00,31.0,max
1984-01-30 15:15:00,-36.0,min
1984-01-30 21:50:00,40.0,max
1984-01-31 02:55:00,-8.0,min
1984-01-31 09:00:00,53.0,max
1984-01-31 15:45:00,-31.0,min
1984-01-31 22:30:00,41.0,max
1984-02-01 03:05:00,7.000000000000001,min
1984-02-01 08:50:00,64.0,max
1984-02-01 16:40:00,-37.0,min
1984-02-01 22:55:00,41.0,max
1984-02-02 03:25:00,10.0,min
1984-02-02 09:35:00,67.0,max
1984-02-02 16:40:00,-47.0,min
1984-02-02 23:10:00,38.0,max
1984-02-03 04:10:00,-1.0,min
1984-02-03 10:10:00,49.0,max
1984-02-03 16:45:00,-51.0,min
1984-02-04 00:20:00,52.0,max
1984-02-04 05:10:00,8.0,min
1984-02-04 10:00:00,51.0,max
1984-02-04 17:05:00,-51.0,min
1984-02-05 00:15:00,40.0,max
1984-02-05 05:25:00,-5.0,min
1984-02-05 10:35:00,33.0,max
1984-02-05 17:30:00,-48.0,min
1984-02-06 00:20:00,44.0,max
1984-02-06 06:55:00,-6.0,min
1984-02-06 11:40:00,28.000000000000004,max
1984-02-06 17:50:00,-42.0,min
1984-02-07 01:10:00,45.0,max
1984-02-07 06:40:00,6.0,min
1984-02-07 12:00:00,43.0,max
1984-02-07 18:25:00,-8.0,min
1984-02-08 01:25:00,57.99999999999999,max
1984-02-08 09:00:00,1.0,min
1984-02-08 14:10:00,30.0,max
1984-02-08 17:25:00,6.0,min
1984-02-09 01:15:00,71.0,max
1984-02-09 10:05:00,-27.0,min
1984-02-10 00:05:00,47.0,max
1984-02-10 10:05:00,-36.0,min
1984-02-10 20:00:00,28.000000000000004,max
1984-02-11 11:30:00,-24.0,min
1984-02-11 19:20:00,42.0,max
1984-02-12 00:45:00,5.0,min
1984-02-12 05:20:00,27.0,max
1984-02-12 12:05:00,-21.0,min
1984-02-12 19:25:00,24.0,max
1984-02-12 23:55:00,3.0,min
1984-02-13 07:25:00,45.0,max
1984-02-13 14:45:00,-22.0,min
1984-02-13 20:50:00,32.0,max
1984-02-14 01:20:00,10.0,min
1984-02-14 07:55:00,61.0,max
1984-02-14 15:05:00,-42.0,min
1984-02-14 21:50:00,44.0,max
1984-02-15 02:10:00,7.000000000000001,min
1984-02-15 08:35:00,72.0,max
1984-02-15 15:15:00,-47.0,min
1984-02-15 22:45:00,52.0,max
1984-02-16 03:30:00,4.0,min
1984-02-16 09:25:00,63.0,max
1984-02-16 16:00:00,-57.99999999999999,min
1984-02-16 22:40:00,53.0,max
1984-02-17 03:45:00,-6.0,min
